"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 19:40:33 GMT 2024","Thu Nov 28 19:40:33 GMT 2024","195","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 19:40:37 GMT 2024","Thu Nov 28 19:40:37 GMT 2024","209","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 19:40:33 GMT 2024","Thu Nov 28 19:40:33 GMT 2024","135","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithEmptyName","User should not be able to create project with empty Name",""
"failed","Thu Nov 28 19:40:27 GMT 2024","Thu Nov 28 19:40:27 GMT 2024","260","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","buildconfigurationTest","buildconfigurationTest",""
"passed","Thu Nov 28 19:40:34 GMT 2024","Thu Nov 28 19:40:34 GMT 2024","164","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 19:40:31 GMT 2024","Thu Nov 28 19:40:31 GMT 2024","406","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTestUseTestData","User should be able to create build type",""
"passed","Thu Nov 28 19:40:31 GMT 2024","Thu Nov 28 19:40:32 GMT 2024","395","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 19:40:33 GMT 2024","Thu Nov 28 19:40:34 GMT 2024","148","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 19:40:35 GMT 2024","Thu Nov 28 19:40:35 GMT 2024","212","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithTheSameName","User should not be able to create two project with the same Name",""
"passed","Thu Nov 28 19:40:32 GMT 2024","Thu Nov 28 19:40:32 GMT 2024","377","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTestUseTestData","User should not be able to create two build types with the same id",""
