"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 21:30:13 GMT 2024","Thu Nov 28 21:30:26 GMT 2024","13240","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create Build Type",""
"passed","Thu Nov 28 21:28:04 GMT 2024","Thu Nov 28 21:28:57 GMT 2024","53204","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 21:30:07 GMT 2024","Thu Nov 28 21:30:07 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Nov 28 21:29:09 GMT 2024","Thu Nov 28 21:30:07 GMT 2024","57927","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create Project",""
"passed","Thu Nov 28 21:30:07 GMT 2024","Thu Nov 28 21:30:13 GMT 2024","5588","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreatesBuildTypeWithEmptyUrl","User should not be able to create Build Type with empty RepoUrl",""
