"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:57:32 GMT 2024","Thu Nov 28 20:57:32 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Nov 28 20:56:37 GMT 2024","Thu Nov 28 20:57:32 GMT 2024","55168","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create Project",""
"passed","Thu Nov 28 20:55:31 GMT 2024","Thu Nov 28 20:56:25 GMT 2024","53378","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 20:57:38 GMT 2024","Thu Nov 28 20:57:50 GMT 2024","11867","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create Build Type",""
"passed","Thu Nov 28 20:57:32 GMT 2024","Thu Nov 28 20:57:37 GMT 2024","5507","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreatesBuildTypeWithEmptyUrl","User should not be able to create Build Type with empty RepoUrl",""
