"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 19:41:30 GMT 2024","Thu Nov 28 19:41:42 GMT 2024","12425","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create Build Type",""
"passed","Thu Nov 28 19:39:26 GMT 2024","Thu Nov 28 19:40:20 GMT 2024","53824","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 19:41:24 GMT 2024","Thu Nov 28 19:41:30 GMT 2024","5281","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreatesBuildTypeWithEmptyUrl","User should not be able to create Build Type with empty RepoUrl",""
"passed","Thu Nov 28 19:41:24 GMT 2024","Thu Nov 28 19:41:24 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"failed","Thu Nov 28 19:40:32 GMT 2024","Thu Nov 28 19:41:24 GMT 2024","52321","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create Project",""
