"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:56:37 GMT 2024","Thu Nov 28 20:56:37 GMT 2024","288","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithTheSameName","User should not be able to create two project with the same Name",""
"passed","Thu Nov 28 20:56:35 GMT 2024","Thu Nov 28 20:56:35 GMT 2024","150","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithEmptyName","User should not be able to create project with empty Name",""
"passed","Thu Nov 28 20:56:33 GMT 2024","Thu Nov 28 20:56:33 GMT 2024","407","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTestUseTestData","User should be able to create build type",""
"failed","Thu Nov 28 20:56:29 GMT 2024","Thu Nov 28 20:56:29 GMT 2024","197","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","buildconfigurationTest","buildconfigurationTest",""
"passed","Thu Nov 28 20:56:33 GMT 2024","Thu Nov 28 20:56:34 GMT 2024","404","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 20:56:37 GMT 2024","Thu Nov 28 20:56:38 GMT 2024","242","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 20:56:35 GMT 2024","Thu Nov 28 20:56:35 GMT 2024","123","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 20:56:35 GMT 2024","Thu Nov 28 20:56:35 GMT 2024","165","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 20:56:36 GMT 2024","Thu Nov 28 20:56:37 GMT 2024","191","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithTheSameId","User should not be able to create two project with the same ID",""
"passed","Thu Nov 28 20:56:36 GMT 2024","Thu Nov 28 20:56:36 GMT 2024","145","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 20:56:29 GMT 2024","Thu Nov 28 20:56:29 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 28 20:56:36 GMT 2024","Thu Nov 28 20:56:36 GMT 2024","173","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 20:56:32 GMT 2024","Thu Nov 28 20:56:32 GMT 2024","455","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTest1","User should be able to create build type",""
"passed","Thu Nov 28 20:55:18 GMT 2024","Thu Nov 28 20:56:12 GMT 2024","53935","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 20:56:37 GMT 2024","Thu Nov 28 20:56:37 GMT 2024","254","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProject","User should be able to create project",""
"passed","Thu Nov 28 20:56:29 GMT 2024","Thu Nov 28 20:56:29 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Nov 28 20:56:36 GMT 2024","Thu Nov 28 20:56:36 GMT 2024","163","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 20:56:38 GMT 2024","Thu Nov 28 20:56:38 GMT 2024","285","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 20:56:29 GMT 2024","Thu Nov 28 20:56:32 GMT 2024","2670","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 20:56:38 GMT 2024","Thu Nov 28 20:56:38 GMT 2024","204","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 20:56:38 GMT 2024","Thu Nov 28 20:56:39 GMT 2024","307","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 20:56:34 GMT 2024","Thu Nov 28 20:56:35 GMT 2024","175","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithEmptyId","User should not be able to create project with empty ID",""
"passed","Thu Nov 28 20:56:34 GMT 2024","Thu Nov 28 20:56:34 GMT 2024","411","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTestUseTestData","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 20:56:35 GMT 2024","Thu Nov 28 20:56:36 GMT 2024","122","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
