"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:37:36 GMT 2024","Thu Nov 28 20:37:41 GMT 2024","5342","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreatesBuildTypeWithEmptyUrl","User should not be able to create Build Type with empty RepoUrl",""
"passed","Thu Nov 28 20:35:40 GMT 2024","Thu Nov 28 20:36:30 GMT 2024","50410","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 20:37:36 GMT 2024","Thu Nov 28 20:37:36 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Nov 28 20:37:41 GMT 2024","Thu Nov 28 20:37:53 GMT 2024","11746","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create Build Type",""
"passed","Thu Nov 28 20:36:42 GMT 2024","Thu Nov 28 20:37:35 GMT 2024","53745","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create Project",""
