"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 21:05:17 GMT 2024","Thu Nov 28 21:05:28 GMT 2024","11519","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create Build Type",""
"passed","Thu Nov 28 21:05:11 GMT 2024","Thu Nov 28 21:05:17 GMT 2024","5268","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreatesBuildTypeWithEmptyUrl","User should not be able to create Build Type with empty RepoUrl",""
"passed","Thu Nov 28 21:04:18 GMT 2024","Thu Nov 28 21:05:11 GMT 2024","53128","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create Project",""
"passed","Thu Nov 28 21:05:11 GMT 2024","Thu Nov 28 21:05:11 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Nov 28 21:03:16 GMT 2024","Thu Nov 28 21:04:06 GMT 2024","49765","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
