"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 21:04:32 GMT 2024","Thu Nov 28 21:04:33 GMT 2024","488","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 21:04:34 GMT 2024","Thu Nov 28 21:04:34 GMT 2024","122","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 21:04:32 GMT 2024","Thu Nov 28 21:04:32 GMT 2024","343","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTestUseTestData","User should be able to create build type",""
"passed","Thu Nov 28 21:03:17 GMT 2024","Thu Nov 28 21:04:11 GMT 2024","53312","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 21:04:33 GMT 2024","Thu Nov 28 21:04:34 GMT 2024","242","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithEmptyId","User should not be able to create project with empty ID",""
"passed","Thu Nov 28 21:04:37 GMT 2024","Thu Nov 28 21:04:37 GMT 2024","260","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithTheSameId","User should not be able to create two project with the same ID",""
"passed","Thu Nov 28 21:04:31 GMT 2024","Thu Nov 28 21:04:31 GMT 2024","506","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTest1","User should be able to create build type",""
"failed","Thu Nov 28 21:04:27 GMT 2024","Thu Nov 28 21:04:28 GMT 2024","287","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","buildconfigurationTest","buildconfigurationTest",""
"passed","Thu Nov 28 21:04:38 GMT 2024","Thu Nov 28 21:04:39 GMT 2024","293","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 21:04:39 GMT 2024","Thu Nov 28 21:04:39 GMT 2024","252","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
