"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 21:29:33 GMT 2024","Thu Nov 28 21:29:33 GMT 2024","212","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithEmptyId","User should not be able to create project with empty ID",""
"passed","Thu Nov 28 21:29:38 GMT 2024","Thu Nov 28 21:29:38 GMT 2024","254","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 21:28:17 GMT 2024","Thu Nov 28 21:29:10 GMT 2024","52904","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 21:29:31 GMT 2024","Thu Nov 28 21:29:32 GMT 2024","460","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 21:29:38 GMT 2024","Thu Nov 28 21:29:38 GMT 2024","217","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 21:29:31 GMT 2024","Thu Nov 28 21:29:31 GMT 2024","476","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTestUseTestData","User should be able to create build type",""
"passed","Thu Nov 28 21:29:26 GMT 2024","Thu Nov 28 21:29:26 GMT 2024","7","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 28 21:29:26 GMT 2024","Thu Nov 28 21:29:29 GMT 2024","3069","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 21:29:34 GMT 2024","Thu Nov 28 21:29:35 GMT 2024","171","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 21:29:36 GMT 2024","Thu Nov 28 21:29:36 GMT 2024","299","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithTheSameId","User should not be able to create two project with the same ID",""
"passed","Thu Nov 28 21:29:33 GMT 2024","Thu Nov 28 21:29:33 GMT 2024","190","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 21:29:32 GMT 2024","Thu Nov 28 21:29:32 GMT 2024","473","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTestUseTestData","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 21:29:26 GMT 2024","Thu Nov 28 21:29:26 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Nov 28 21:29:37 GMT 2024","Thu Nov 28 21:29:37 GMT 2024","272","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithTheSameName","User should not be able to create two project with the same Name",""
"passed","Thu Nov 28 21:29:30 GMT 2024","Thu Nov 28 21:29:30 GMT 2024","653","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTest1","User should be able to create build type",""
"passed","Thu Nov 28 21:29:34 GMT 2024","Thu Nov 28 21:29:34 GMT 2024","124","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 21:29:37 GMT 2024","Thu Nov 28 21:29:38 GMT 2024","215","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 21:29:33 GMT 2024","Thu Nov 28 21:29:33 GMT 2024","194","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithEmptyName","User should not be able to create project with empty Name",""
"passed","Thu Nov 28 21:29:37 GMT 2024","Thu Nov 28 21:29:37 GMT 2024","202","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProject","User should be able to create project",""
"passed","Thu Nov 28 21:29:37 GMT 2024","Thu Nov 28 21:29:37 GMT 2024","220","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Thu Nov 28 21:29:35 GMT 2024","Thu Nov 28 21:29:36 GMT 2024","808","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 21:29:36 GMT 2024","Thu Nov 28 21:29:36 GMT 2024","160","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Thu Nov 28 21:29:35 GMT 2024","Thu Nov 28 21:29:35 GMT 2024","177","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
